feature,train_validation_median
step_depth,8.0
num_turns,8.0
num_system_turns,1.0
num_user_turns,2.0
num_assistant_turns,3.0
num_function_turns,2.0
has_function_call,1.0
total_characters,9749.0
user_characters,1041.0
assistant_characters,2039.0
function_characters,572.0
total_words,1289.0
assistant_words,295.0
avg_chars_per_turn,1234.7777777777778
avg_words_per_turn,162.6
function_turn_ratio,0.2857142857142857
assistant_turn_ratio,0.4
user_turn_ratio,0.2
role_transitions,7.0
repeated_role_transitions,0.0
role_transition_ratio,0.875
first_function_position,4.0
last_function_position,7.0
