antecedent_text,consequent_item,failure_type,support,confidence,lift,leverage,conviction
NO_TOOL & NO_TOOL_CYCLE & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.04085510688836105,0.4858757062146893,3.538990870525678,0.029310825373361694,1.678014147372817
NO_TOOL & NO_USER_REENTRY & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.04085510688836105,0.4858757062146893,3.538990870525678,0.029310825373361694,1.678014147372817
NO_TOOL_CYCLE & NO_USER_REENTRY & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.04085510688836105,0.4858757062146893,3.538990870525678,0.029310825373361694,1.678014147372817
NO_TOOL & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.04085510688836105,0.4858757062146893,3.538990870525678,0.029310825373361694,1.678014147372817
NO_TOOL_CYCLE & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.04085510688836105,0.4858757062146893,3.538990870525678,0.029310825373361694,1.678014147372817
DEPTH_LOW & NO_TOOL & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.039904988123515436,0.48554913294797686,3.5366121967318036,0.028621594326369175,1.6769489444607542
DEPTH_LOW & NO_TOOL_CYCLE & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.039904988123515436,0.48554913294797686,3.5366121967318036,0.028621594326369175,1.6769489444607542
NO_USER_REENTRY & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.07315914489311164,0.41286863270777474,3.007226546193307,0.048831365203310745,1.4693608390546533
DEPTH_LOW & NO_USER_REENTRY & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.067458432304038,0.41279069767441856,3.006658887905367,0.04502208856867203,1.4691658239458147
DEPTH_LOW & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.067458432304038,0.41279069767441856,3.006658887905367,0.04502208856867203,1.4691658239458147
NO_USER_REENTRY & ONE_TOOL_CYCLE & PATTERN_A_T_A,FAILURE_NO_FAILURE,No Failure,0.032304038004750596,0.3469387755102041,2.5270108043217285,0.019520539829949054,1.3210213776722088
NO_USER_REENTRY & ONE_TOOL_CYCLE & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.032304038004750596,0.3469387755102041,2.5270108043217285,0.019520539829949054,1.3210213776722088
NO_USER_REENTRY & ONE_TOOL_CYCLE & TOOL_LOW,FAILURE_NO_FAILURE,No Failure,0.032304038004750596,0.3469387755102041,2.5270108043217285,0.019520539829949054,1.3210213776722088
NO_USER_REENTRY & PATTERN_A_T_A & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.032304038004750596,0.3469387755102041,2.5270108043217285,0.019520539829949054,1.3210213776722088
NO_USER_REENTRY & SEQ_SHORT & TOOL_LOW,FAILURE_NO_FAILURE,No Failure,0.032304038004750596,0.3469387755102041,2.5270108043217285,0.019520539829949054,1.3210213776722088
NO_USER_REENTRY & ONE_TOOL_CYCLE,FAILURE_NO_FAILURE,No Failure,0.032304038004750596,0.3469387755102041,2.5270108043217285,0.019520539829949054,1.3210213776722088
DEPTH_LOW & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.0836104513064133,0.33460076045627374,2.4371439472680145,0.04930371640873161,1.2965266372582285
DEPTH_LOW,FAILURE_NO_FAILURE,No Failure,0.0836104513064133,0.33460076045627374,2.4371439472680145,0.04930371640873161,1.2965266372582285
NO_TOOL & NO_TOOL_CYCLE & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.057007125890736345,0.3342618384401114,2.4346753284305693,0.033592453213421275,1.2958665858336895
NO_TOOL & NO_TOOL_CYCLE,FAILURE_NO_FAILURE,No Failure,0.057007125890736345,0.3342618384401114,2.4346753284305693,0.033592453213421275,1.2958665858336895
NO_TOOL & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.057007125890736345,0.3342618384401114,2.4346753284305693,0.033592453213421275,1.2958665858336895
NO_TOOL,FAILURE_NO_FAILURE,No Failure,0.057007125890736345,0.3342618384401114,2.4346753284305693,0.033592453213421275,1.2958665858336895
DEPTH_LOW & NO_TOOL & NO_TOOL_CYCLE,FAILURE_NO_FAILURE,No Failure,0.056057007125890734,0.3323943661971831,2.4210731517130464,0.032903222166428756,1.2922416989887449
DEPTH_LOW & NO_TOOL & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.056057007125890734,0.3323943661971831,2.4210731517130464,0.032903222166428756,1.2922416989887449
DEPTH_LOW & NO_TOOL_CYCLE & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.056057007125890734,0.3323943661971831,2.4210731517130464,0.032903222166428756,1.2922416989887449
DEPTH_LOW & NO_TOOL,FAILURE_NO_FAILURE,No Failure,0.056057007125890734,0.3323943661971831,2.4210731517130464,0.032903222166428756,1.2922416989887449
DEPTH_LOW & NO_TOOL_CYCLE,FAILURE_NO_FAILURE,No Failure,0.056057007125890734,0.3323943661971831,2.4210731517130464,0.032903222166428756,1.2922416989887449
NO_USER_REENTRY & PATTERN_A_T_A & TOOL_LOW,FAILURE_NO_FAILURE,No Failure,0.05415676959619953,0.29081632653061223,2.118229644799096,0.028589773246596444,1.2164801175686528
NO_USER_REENTRY & TOOL_LOW,FAILURE_NO_FAILURE,No Failure,0.05415676959619953,0.29081632653061223,2.118229644799096,0.028589773246596444,1.2164801175686528
