antecedent_text,consequent_item,failure_type,support,confidence,lift,leverage,conviction
NO_TOOL & NO_TOOL_CYCLE & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.0385,0.44,3.1941923774954626,0.026446875,1.5397321428571427
NO_TOOL & NO_USER_REENTRY & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.0385,0.44,3.1941923774954626,0.026446875,1.5397321428571427
NO_TOOL_CYCLE & NO_USER_REENTRY & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.0385,0.44,3.1941923774954626,0.026446875,1.5397321428571427
NO_TOOL & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.0385,0.44,3.1941923774954626,0.026446875,1.5397321428571427
NO_TOOL_CYCLE & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.0385,0.44,3.1941923774954626,0.026446875,1.5397321428571427
DEPTH_LOW & NO_TOOL & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.0375,0.43859649122807015,3.1840035660839936,0.025722375,1.5358828125
DEPTH_LOW & NO_TOOL_CYCLE & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.0375,0.43859649122807015,3.1840035660839936,0.025722375,1.5358828125
NO_USER_REENTRY & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.072,0.39889196675900274,2.8957674537858638,0.047136124999999994,1.4344343317972348
DEPTH_LOW & NO_USER_REENTRY & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.0665,0.3946587537091988,2.865036324567686,0.043289125,1.4244031862745097
DEPTH_LOW & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.0665,0.3946587537091988,2.865036324567686,0.043289125,1.4244031862745097
NO_USER_REENTRY & ONE_TOOL_CYCLE & PATTERN_A_T_A,FAILURE_NO_FAILURE,No Failure,0.0335,0.3602150537634409,2.614991315887048,0.02068925,1.347718487394958
NO_USER_REENTRY & ONE_TOOL_CYCLE & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.0335,0.3602150537634409,2.614991315887048,0.02068925,1.347718487394958
NO_USER_REENTRY & ONE_TOOL_CYCLE & TOOL_LOW,FAILURE_NO_FAILURE,No Failure,0.0335,0.3602150537634409,2.614991315887048,0.02068925,1.347718487394958
NO_USER_REENTRY & PATTERN_A_T_A & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.0335,0.3602150537634409,2.614991315887048,0.02068925,1.347718487394958
NO_USER_REENTRY & SEQ_SHORT & TOOL_LOW,FAILURE_NO_FAILURE,No Failure,0.0335,0.3602150537634409,2.614991315887048,0.02068925,1.347718487394958
NO_USER_REENTRY & ONE_TOOL_CYCLE,FAILURE_NO_FAILURE,No Failure,0.0335,0.3602150537634409,2.614991315887048,0.02068925,1.347718487394958
DEPTH_LOW & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.0825,0.3296703296703297,2.3932510320895077,0.0480280625,1.2863073770491804
DEPTH_LOW,FAILURE_NO_FAILURE,No Failure,0.0825,0.3293413173652695,2.390862558005586,0.047993625,1.2856763392857142
