antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
PATTERN_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,0.77925,0.23175,0.21725,0.2787937119024703,1.2029933631174554,1.0,0.0366588125,1.0652292037366549,0.7643951014365453,0.2737007874015747,0.06123489997067401,0.6081131450558738
PATTERN_A_T_A,FAILURE_INTENT_MISUNDERSTANDING,0.77925,0.23575,0.1685,0.2162335579082451,0.9172155160476994,1.0,-0.01520818749999997,0.9750991608677855,-0.29020731734951466,0.1990549320732428,-0.02553672501374534,0.46548687439420744
MULTI_TOOL_CYCLE & PATTERN_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,0.58,0.23175,0.16525,0.28491379310344833,1.2294014804895288,1.0,0.030835,1.0743459915611815,0.44427634896621276,0.2556071152358856,0.0692011625166916,0.4989833258936875
MULTI_TOOL_CYCLE,FAILURE_EXECUTION_CASCADING_ERROR,0.58,0.23175,0.16525,0.28491379310344833,1.2294014804895288,1.0,0.030835,1.0743459915611815,0.44427634896621276,0.2556071152358856,0.0692011625166916,0.4989833258936875
USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,0.582,0.23175,0.161,0.2766323024054983,1.1936668927961092,1.0,0.02612150000000002,1.0620463182897861,0.388146750274897,0.24664879356568367,0.05842148051480415,0.4856732170064169
PATTERN_A_T_A,FAILURE_WRONG_TOOL_SELECTION,0.77925,0.2085,0.1575,0.20211742059672763,0.9693881083775906,1.0,-0.0049736249999999815,0.9920006031363088,-0.12514861575043834,0.1897018970189702,-0.008063903225865268,0.4787565520249826
MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,0.52625,0.23175,0.14875,0.2826603325415677,1.2196778103196015,1.0,0.02679156249999999,1.0709710264900663,0.38018225759960966,0.24415264669675826,0.06626792390701944,0.46225789011112906
MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,0.52625,0.23175,0.14875,0.2826603325415677,1.2196778103196015,1.0,0.02679156249999999,1.0709710264900663,0.38018225759960966,0.24415264669675826,0.06626792390701944,0.46225789011112906
PATTERN_A_T_A & PATTERN_A_T_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,0.52625,0.23175,0.14875,0.2826603325415677,1.2196778103196015,1.0,0.02679156249999999,1.0709710264900663,0.38018225759960966,0.24415264669675826,0.06626792390701944,0.46225789011112906
PATTERN_A_T_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,0.52625,0.23175,0.14875,0.2826603325415677,1.2196778103196015,1.0,0.02679156249999999,1.0709710264900663,0.38018225759960966,0.24415264669675826,0.06626792390701944,0.46225789011112906
PATTERN_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,0.44875,0.23175,0.14675,0.32701949860724233,1.411087372631035,1.0,0.0427521875,1.1415635347682118,0.5284837387538774,0.27494145199063236,0.12400845897460765,0.48012247853770956
USER_REENTRY,FAILURE_INTENT_MISUNDERSTANDING,0.582,0.23575,0.1465,0.25171821305841924,1.0677336715097316,1.0,0.00929350000000001,1.0213398392652124,0.1517628231298073,0.21824953445065176,0.020893965401922475,0.4365696049385415
USER_REENTRY,FAILURE_WRONG_TOOL_SELECTION,0.582,0.2085,0.138,0.23711340206185572,1.137234542263097,1.0,0.01665300000000003,1.0375067567567569,0.28869357187435035,0.21149425287356324,0.03615085541611589,0.44949195282948906
DEPTH_HIGH & PATTERN_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,0.41475,0.23175,0.12925,0.3116335141651597,1.3446969327514982,1.0,0.03313168749999999,1.116047942206655,0.4379974502126336,0.24987916868052196,0.1039811443737842,0.4346732835119218
DEPTH_HIGH,FAILURE_EXECUTION_CASCADING_ERROR,0.41625,0.23175,0.12925,0.31051051051051054,1.3398511780388804,1.0,0.0327840625,1.1142301829268293,0.43451555051172347,0.24915662650602408,0.10251937586789525,0.4341117816845972
DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,0.409,0.23175,0.128,0.31295843520782396,1.3504139599043103,1.0,0.03321425,1.118200177935943,0.43906316095600684,0.249634324719649,0.10570574058942264,0.43263887240434346
DEPTH_HIGH & MULTI_TOOL_CYCLE,FAILURE_EXECUTION_CASCADING_ERROR,0.409,0.23175,0.128,0.31295843520782396,1.3504139599043103,1.0,0.03321425,1.118200177935943,0.43906316095600684,0.249634324719649,0.10570574058942264,0.43263887240434346
MULTI_TOOL_CYCLE & PATTERN_A_T_A,FAILURE_INTENT_MISUNDERSTANDING,0.58,0.23575,0.128,0.22068965517241382,0.9361173072000587,1.0,-0.008734999999999993,0.9806747787610619,-0.13977118169453548,0.1861141403126136,-0.019706044916697637,0.3818188466742239
MULTI_TOOL_CYCLE,FAILURE_INTENT_MISUNDERSTANDING,0.58,0.23575,0.128,0.22068965517241382,0.9361173072000587,1.0,-0.008734999999999993,0.9806747787610619,-0.13977118169453548,0.1861141403126136,-0.019706044916697637,0.3818188466742239
MULTI_TOOL_CYCLE & PATTERN_A_T_A,FAILURE_PARAMETER_HALLUCINATION,0.58,0.18625,0.122,0.2103448275862069,1.1293682018051376,1.0,0.013975000000000001,1.0305131004366812,0.272736143637783,0.1893674815677144,0.02960961915355687,0.43268919231659336
MULTI_TOOL_CYCLE,FAILURE_PARAMETER_HALLUCINATION,0.58,0.18625,0.122,0.2103448275862069,1.1293682018051376,1.0,0.013975000000000001,1.0305131004366812,0.272736143637783,0.1893674815677144,0.02960961915355687,0.43268919231659336
MULTI_TOOL_CYCLE & PATTERN_A_T_A,FAILURE_WRONG_TOOL_SELECTION,0.58,0.2085,0.11925,0.20560344827586208,0.9861076655916646,1.0,-0.001679999999999987,0.9963537710255019,-0.03245436105476649,0.17818453492715725,-0.0036595726141982485,0.38877294715951377
MULTI_TOOL_CYCLE,FAILURE_WRONG_TOOL_SELECTION,0.58,0.2085,0.11925,0.20560344827586208,0.9861076655916646,1.0,-0.001679999999999987,0.9963537710255019,-0.03245436105476649,0.17818453492715725,-0.0036595726141982485,0.38877294715951377
MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A,FAILURE_INTENT_MISUNDERSTANDING,0.52625,0.23575,0.11825,0.22470308788598573,0.953141412029632,1.0,-0.005813437500000004,0.9857513786764706,-0.09401627331075967,0.18368932038834948,-0.014454579148203157,0.36314687798328976
MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,FAILURE_INTENT_MISUNDERSTANDING,0.52625,0.23575,0.11825,0.22470308788598573,0.953141412029632,1.0,-0.005813437500000004,0.9857513786764706,-0.09401627331075967,0.18368932038834948,-0.014454579148203157,0.36314687798328976
PATTERN_A_T_A & PATTERN_A_T_A_T_A,FAILURE_INTENT_MISUNDERSTANDING,0.52625,0.23575,0.11825,0.22470308788598573,0.953141412029632,1.0,-0.005813437500000004,0.9857513786764706,-0.09401627331075967,0.18368932038834948,-0.014454579148203157,0.36314687798328976
PATTERN_A_T_A_T_A,FAILURE_INTENT_MISUNDERSTANDING,0.52625,0.23575,0.11825,0.22470308788598573,0.953141412029632,1.0,-0.005813437500000004,0.9857513786764706,-0.09401627331075967,0.18368932038834948,-0.014454579148203157,0.36314687798328976
