support,itemsets,itemset_length
0.7833729216152019,PATTERN_A_T_A,1
0.5786223277909739,MULTI_TOOL_CYCLE & PATTERN_A_T_A,2
0.5786223277909739,MULTI_TOOL_CYCLE,1
0.5743467933491686,USER_REENTRY,1
0.5225653206650831,MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A,3
0.5225653206650831,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,2
0.5225653206650831,PATTERN_A_T_A & PATTERN_A_T_A_T_A,2
0.5225653206650831,PATTERN_A_T_A_T_A,1
0.4418052256532066,PATTERN_A_T_A & USER_REENTRY,2
0.42565320665083134,NO_USER_REENTRY,1
0.4161520190023753,DEPTH_HIGH,1
0.4152019002375297,DEPTH_HIGH & PATTERN_A_T_A,2
0.40760095011876485,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A,3
0.40760095011876485,DEPTH_HIGH & MULTI_TOOL_CYCLE,2
0.3819477434679335,PATTERN_A_T_A & SEQ_MEDIUM,2
0.3819477434679335,SEQ_MEDIUM,1
0.37292161520190026,MULTI_TOOL_CYCLE & PATTERN_A_T_A & TOOL_MEDIUM,3
0.37292161520190026,MULTI_TOOL_CYCLE & TOOL_MEDIUM,2
0.37292161520190026,PATTERN_A_T_A & TOOL_MEDIUM,2
0.37292161520190026,TOOL_MEDIUM,1
0.3548693586698337,TOOL_LOW,1
0.3515439429928741,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A,4
0.3515439429928741,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,3
0.3515439429928741,DEPTH_HIGH & PATTERN_A_T_A & PATTERN_A_T_A_T_A,3
0.3515439429928741,DEPTH_HIGH & PATTERN_A_T_A_T_A,2
0.342042755344418,SEQ_SHORT,1
0.34156769596199527,NO_USER_REENTRY & PATTERN_A_T_A,2
0.3339667458432304,DEPTH_MEDIUM,1
0.33016627078384797,MULTI_TOOL_CYCLE & PATTERN_A_T_A & USER_REENTRY,3
0.33016627078384797,MULTI_TOOL_CYCLE & USER_REENTRY,2
0.32636579572446556,DEPTH_HIGH & PATTERN_A_T_A & USER_REENTRY,3
0.32636579572446556,DEPTH_HIGH & USER_REENTRY,2
0.31876484560570073,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A & USER_REENTRY,4
0.31876484560570073,DEPTH_HIGH & MULTI_TOOL_CYCLE & USER_REENTRY,3
0.3168646080760095,MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A & TOOL_MEDIUM,4
0.3168646080760095,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & TOOL_MEDIUM,3
0.3168646080760095,PATTERN_A_T_A & PATTERN_A_T_A_T_A & TOOL_MEDIUM,3
0.3168646080760095,PATTERN_A_T_A_T_A & TOOL_MEDIUM,2
0.3087885985748218,PATTERN_A_T_A & TOOL_LOW,2
0.30593824228028504,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A & TOOL_MEDIUM,4
0.30593824228028504,DEPTH_HIGH & MULTI_TOOL_CYCLE & TOOL_MEDIUM,3
0.30593824228028504,DEPTH_HIGH & PATTERN_A_T_A & TOOL_MEDIUM,3
0.30593824228028504,DEPTH_HIGH & TOOL_MEDIUM,2
0.3026128266033254,MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_MEDIUM,3
0.3026128266033254,MULTI_TOOL_CYCLE & SEQ_MEDIUM,2
0.2869358669833729,DEPTH_MEDIUM & PATTERN_A_T_A,2
0.27600950118764844,MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_LONG,4
0.27600950118764844,MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_LONG,3
0.27600950118764844,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & SEQ_LONG,3
0.27600950118764844,PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_LONG,3
0.27600950118764844,MULTI_TOOL_CYCLE & SEQ_LONG,2
0.27600950118764844,PATTERN_A_T_A & SEQ_LONG,2
0.27600950118764844,PATTERN_A_T_A_T_A & SEQ_LONG,2
0.27600950118764844,SEQ_LONG,1
0.27505938242280287,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_LONG,4
0.27505938242280287,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & SEQ_LONG,4
0.27505938242280287,DEPTH_HIGH & PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_LONG,4
0.27505938242280287,DEPTH_HIGH & MULTI_TOOL_CYCLE & SEQ_LONG,3
0.27505938242280287,DEPTH_HIGH & PATTERN_A_T_A & SEQ_LONG,3
0.27505938242280287,DEPTH_HIGH & PATTERN_A_T_A_T_A & SEQ_LONG,3
0.27505938242280287,DEPTH_HIGH & SEQ_LONG,2
0.27410926365795724,MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A & USER_REENTRY,4
0.27410926365795724,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & USER_REENTRY,3
0.27410926365795724,PATTERN_A_T_A & PATTERN_A_T_A_T_A & USER_REENTRY,3
0.27410926365795724,PATTERN_A_T_A_T_A & USER_REENTRY,2
0.2665083135391924,FAILURE_EXECUTION_CASCADING_ERROR,1
0.2660332541567696,DEPTH_MEDIUM & TOOL_LOW,2
0.26270783847981,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & USER_REENTRY,4
0.26270783847981,DEPTH_HIGH & PATTERN_A_T_A & PATTERN_A_T_A_T_A & USER_REENTRY,4
0.26270783847981,DEPTH_HIGH & PATTERN_A_T_A_T_A & USER_REENTRY,3
0.2536817102137767,FAILURE_INTENT_MISUNDERSTANDING,1
0.25225653206650833,MULTI_TOOL_CYCLE & PATTERN_A_T_A & TOOL_MEDIUM & USER_REENTRY,4
0.25225653206650833,MULTI_TOOL_CYCLE & TOOL_MEDIUM & USER_REENTRY,3
0.25225653206650833,PATTERN_A_T_A & TOOL_MEDIUM & USER_REENTRY,3
0.25225653206650833,TOOL_MEDIUM & USER_REENTRY,2
0.2517814726840855,DEPTH_HIGH & MULTI_TOOL_CYCLE & TOOL_MEDIUM & USER_REENTRY,4
0.2517814726840855,DEPTH_HIGH & PATTERN_A_T_A & TOOL_MEDIUM & USER_REENTRY,4
0.2517814726840855,DEPTH_HIGH & TOOL_MEDIUM & USER_REENTRY,3
0.2498812351543943,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & TOOL_MEDIUM,4
0.2498812351543943,DEPTH_HIGH & PATTERN_A_T_A & PATTERN_A_T_A_T_A & TOOL_MEDIUM,4
0.2498812351543943,DEPTH_HIGH & PATTERN_A_T_A_T_A & TOOL_MEDIUM,3
0.2498812351543943,DEPTH_LOW & SEQ_SHORT,2
0.2498812351543943,DEPTH_LOW,1
0.2484560570071259,MULTI_TOOL_CYCLE & NO_USER_REENTRY & PATTERN_A_T_A & PATTERN_A_T_A_T_A,4
0.2484560570071259,MULTI_TOOL_CYCLE & NO_USER_REENTRY & PATTERN_A_T_A,3
0.2484560570071259,MULTI_TOOL_CYCLE & NO_USER_REENTRY & PATTERN_A_T_A_T_A,3
0.2484560570071259,NO_USER_REENTRY & PATTERN_A_T_A & PATTERN_A_T_A_T_A,3
0.2484560570071259,FAILURE_EXECUTION_CASCADING_ERROR & PATTERN_A_T_A,2
0.2484560570071259,MULTI_TOOL_CYCLE & NO_USER_REENTRY,2
0.2484560570071259,NO_USER_REENTRY & PATTERN_A_T_A_T_A,2
0.24655581947743468,MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_MEDIUM,4
0.24655581947743468,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & SEQ_MEDIUM,3
0.24655581947743468,PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_MEDIUM,3
0.24655581947743468,PATTERN_A_T_A_T_A & SEQ_MEDIUM,2
0.24228028503562946,DEPTH_MEDIUM & PATTERN_A_T_A & SEQ_MEDIUM,3
0.24228028503562946,DEPTH_MEDIUM & SEQ_MEDIUM,2
0.2199524940617577,DEPTH_MEDIUM & PATTERN_A_T_A & TOOL_LOW,3
0.2166270783847981,NO_TOOL_CYCLE & SEQ_SHORT,2
0.2166270783847981,NO_TOOL_CYCLE,1
