support,itemsets,itemset_length
0.77925,PATTERN_A_T_A,1
0.582,USER_REENTRY,1
0.58,MULTI_TOOL_CYCLE & PATTERN_A_T_A,2
0.58,MULTI_TOOL_CYCLE,1
0.52625,MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A,3
0.52625,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,2
0.52625,PATTERN_A_T_A & PATTERN_A_T_A_T_A,2
0.52625,PATTERN_A_T_A_T_A,1
0.44875,PATTERN_A_T_A & USER_REENTRY,2
0.418,NO_USER_REENTRY,1
0.41625,DEPTH_HIGH,1
0.41475,DEPTH_HIGH & PATTERN_A_T_A,2
0.409,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A,3
0.409,DEPTH_HIGH & MULTI_TOOL_CYCLE,2
0.38675,PATTERN_A_T_A & SEQ_MEDIUM,2
0.38675,SEQ_MEDIUM,1
0.37625,MULTI_TOOL_CYCLE & PATTERN_A_T_A & TOOL_MEDIUM,3
0.37625,MULTI_TOOL_CYCLE & TOOL_MEDIUM,2
0.37625,PATTERN_A_T_A & TOOL_MEDIUM,2
0.37625,TOOL_MEDIUM,1
0.3565,TOOL_LOW,1
0.3555,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A,4
0.3555,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,3
0.3555,DEPTH_HIGH & PATTERN_A_T_A & PATTERN_A_T_A_T_A,3
0.3555,DEPTH_HIGH & PATTERN_A_T_A_T_A,2
0.3425,MULTI_TOOL_CYCLE & PATTERN_A_T_A & USER_REENTRY,3
0.3425,MULTI_TOOL_CYCLE & USER_REENTRY,2
0.3415,SEQ_SHORT,1
0.335,DEPTH_HIGH & USER_REENTRY,2
0.3345,DEPTH_HIGH & PATTERN_A_T_A & USER_REENTRY,3
0.33325,DEPTH_MEDIUM,1
0.3305,NO_USER_REENTRY & PATTERN_A_T_A,2
0.32925,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A & USER_REENTRY,4
0.32925,DEPTH_HIGH & MULTI_TOOL_CYCLE & USER_REENTRY,3
0.3225,MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A & TOOL_MEDIUM,4
0.3225,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & TOOL_MEDIUM,3
0.3225,PATTERN_A_T_A & PATTERN_A_T_A_T_A & TOOL_MEDIUM,3
0.3225,PATTERN_A_T_A_T_A & TOOL_MEDIUM,2
0.311,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A & TOOL_MEDIUM,4
0.311,DEPTH_HIGH & MULTI_TOOL_CYCLE & TOOL_MEDIUM,3
