item,count,percent
PATTERN_A_T_A,1649,78.3372921615202
MULTI_TOOL_CYCLE,1218,57.86223277909739
USER_REENTRY,1209,57.43467933491686
PATTERN_A_T_A_T_A,1100,52.25653206650831
NO_USER_REENTRY,896,42.565320665083135
DEPTH_HIGH,876,41.61520190023753
SEQ_MEDIUM,804,38.194774346793345
TOOL_MEDIUM,785,37.29216152019003
TOOL_LOW,747,35.48693586698337
SEQ_SHORT,720,34.204275534441805
DEPTH_MEDIUM,703,33.39667458432304
SEQ_LONG,581,27.600950118764843
FAILURE_EXECUTION_CASCADING_ERROR,561,26.65083135391924
FAILURE_INTENT_MISUNDERSTANDING,534,25.368171021377673
DEPTH_LOW,526,24.98812351543943
NO_TOOL_CYCLE,456,21.66270783847981
ONE_TOOL_CYCLE,431,20.475059382422803
FAILURE_PARAMETER_HALLUCINATION,362,17.197149643705465
FAILURE_WRONG_TOOL_SELECTION,359,17.05463182897862
NO_TOOL,359,17.05463182897862
FAILURE_NO_FAILURE,289,13.729216152019003
TOOL_HIGH,214,10.166270783847981
