cluster,rank,term,mean_tfidf
0,1,chuck,0.0752655438324773
0,2,joke,0.06887915774819549
0,3,chuck norris,0.06743099233766432
0,4,norris,0.06734801095901724
0,5,chuck_norris,0.06507223513201804
0,6,fragment,0.057785866636176804
0,7,chuck_norris use,0.05622519586675936
0,8,tool chuck_norris,0.05622519586675936
0,9,trivia,0.05271751781048208
0,10,random,0.0509489065437313
0,11,fact,0.04912272127364215
0,12,jokes,0.04849514557174496
0,13,json,0.047472442163843435
0,14,chucknorris,0.046229942348494306
0,15,facts,0.04604130059021268
0,16,true return,0.045549214728639126
0,17,jokes_random_for_chuck_norris,0.04520162404619568
0,18,math,0.04325109944491877
0,19,random chuck,0.042791350463124156
0,20,42,0.042016325548186274
1,1,previous,0.04507949184326211
1,2,actions,0.042403313868339114
1,3,different,0.03388996954225809
1,4,previous actions,0.0317691810468196
1,5,state previous,0.030616008954716653
1,6,error,0.030589566524752646
1,7,candidates,0.02990219088390736
1,8,generate,0.029624585476725192
1,9,different previous,0.02898961070569815
1,10,actions different,0.02853250006129836
1,11,previous action,0.027134680450517114
1,12,response,0.02626967646060275
1,13,failed,0.024943599831437385
1,14,example_value,0.023616637747476982
1,15,api,0.022502105735790538
1,16,description example_value,0.022212506349248286
1,17,error response,0.021381340702846596
1,18,data,0.020610293851520117
1,19,id,0.02048824630482692
1,20,using,0.020296597933330888
2,1,api,0.025412621517297354
2,2,required optional,0.020803047844482957
2,3,properties required,0.020672780422141355
2,4,example_value,0.020404362660266673
2,5,list,0.02019850888388623
2,6,description example_value,0.019180523657764157
2,7,retrieve,0.019082353621365036
2,8,data,0.017966364758217182
2,9,id,0.017817482259076037
2,10,error,0.017586431919726937
2,11,fetch,0.01758578552342
2,12,response,0.01736026709448887
2,13,news,0.017269245709658522
2,14,argument,0.017145677012580796
2,15,details,0.0167834993995729
2,16,calling,0.01669220043839312
2,17,function error,0.016605598280966145
2,18,error response,0.016581660931191965
2,19,request,0.015784382721257217
2,20,turn function,0.015712274462948934
3,1,example_value,0.022784270490654134
3,2,api,0.020808594817893857
3,3,previous,0.018880040002067264
3,4,error,0.018844689195971612
3,5,response,0.017017955254719802
3,6,integer description,0.016529619930315
3,7,integer,0.016525975179295837
3,8,type integer,0.01651983572382263
3,9,actions,0.01584023002613213
3,10,id,0.015177899424967403
3,11,required optional,0.01499019662264846
3,12,com,0.014844282318220435
3,13,data,0.014841625904543168
3,14,different,0.014644796509723257
3,15,https,0.014486565881721494
3,16,language,0.014298627792459074
3,17,using,0.013911391913632318
3,18,properties required,0.013674760284221973
3,19,function error,0.01358707014387775
3,20,list,0.013531798092600581
4,1,soundcloud,0.08024237258125864
4,2,songs,0.07240497780709344
4,3,song,0.07128346711449458
4,4,deezer,0.062204761993325926
4,5,artist,0.06017248384650895
4,6,artists,0.059176552269216635
4,7,playlist,0.056762405481993114
4,8,shazam,0.056528205833766276
4,9,track,0.05478355378454264
4,10,chart,0.05241970875514799
4,11,soundcloud use,0.05026050487923116
4,12,tool soundcloud,0.04979545419771085
4,13,tracks,0.048685075786789656
4,14,https soundcloud,0.048505257690389394
4,15,soundcloud com,0.04846343336244558
4,16,billboard_api,0.04809519426290897
4,17,lyrics,0.04593982195032897
4,18,chart information,0.04476919337427996
4,19,track_url,0.04424542077449855
4,20,music,0.043185037456843225
