cluster,rank,term,mean_tfidf
0,1,joke,0.077031275200095
0,2,chuck,0.06403493014251248
0,3,jokes,0.060387904326943555
0,4,norris,0.057159869245830386
0,5,chuck norris,0.05709701172471618
0,6,random,0.054084652476382306
0,7,chuck_norris,0.05381020180443987
0,8,fragment,0.04745483180010035
0,9,tool chuck_norris,0.04678664754328447
0,10,chuck_norris use,0.04678664754328447
0,11,trivia,0.0429768758224767
0,12,fact,0.04195621933188842
0,13,chucknorris,0.0388448007932079
0,14,json,0.0387708415928193
0,15,facts,0.03837047535811514
0,16,true return,0.03771475994894717
0,17,jokes_random_for_chuck_norris,0.03655559517424152
0,18,42,0.03523235890629246
0,19,math,0.03488126892962374
0,20,random chuck,0.03487125704119405
1,1,soundcloud,0.0756765474526984
1,2,songs,0.070296936242417
1,3,deezer,0.06979384007632201
1,4,song,0.06638737708863483
1,5,artist,0.06071168235020335
1,6,artists,0.05899187888613264
1,7,shazam,0.05482158357709949
1,8,tracks,0.05246287287542737
1,9,playlist,0.051197926986264804
1,10,track,0.04878717202452413
1,11,chart,0.04847603946966221
1,12,soundcloud use,0.0482682621987595
1,13,tool soundcloud,0.04798148665456182
1,14,https soundcloud,0.04681184074776385
1,15,soundcloud com,0.046772255462687165
1,16,deezer use,0.045427592803135255
1,17,tool deezer,0.04537552224572731
1,18,music,0.045141156925514625
1,19,billboard_api,0.04424128796012489
1,20,track_url,0.04407640362463128
2,1,example_value,0.02363530009998141
2,2,api,0.020525082098944106
2,3,previous,0.020007732811800315
2,4,error,0.019083768835311668
2,5,type integer,0.01761534653273492
2,6,integer description,0.01759575304097439
2,7,integer,0.01747871529773693
2,8,response,0.017376031509098968
2,9,actions,0.017043272771853857
2,10,data,0.016420116454331644
2,11,different,0.01547241157939307
2,12,language,0.015206864707457591
2,13,list,0.014891962275969697
2,14,required optional,0.014501323063221437
2,15,code,0.0143512240445617
2,16,using,0.013953838446411489
2,17,returns,0.013770085204552293
2,18,function error,0.01356552163557944
2,19,error response,0.013561060600531154
2,20,id,0.013401021110302681
3,1,api,0.025188850078335188
3,2,required optional,0.021856599649430125
3,3,properties required,0.02178999770663032
3,4,description example_value,0.020554979074374518
3,5,example_value,0.020510597990297735
3,6,retrieve,0.019338628855968334
3,7,id,0.01919523684560792
3,8,list,0.018795167513226015
3,9,details,0.018076979356220685
3,10,error,0.017877509356695
3,11,fetch,0.017873624498723307
3,12,news,0.017733760918372473
3,13,data,0.017558701527814895
3,14,https,0.01738788942928767
3,15,response,0.017317798584942902
3,16,argument,0.017036341319418592
3,17,com,0.017013205808702334
3,18,function error,0.01669239707839899
3,19,error response,0.016606028788353332
3,20,latest,0.016415754146250513
4,1,previous,0.045076843524843396
4,2,actions,0.042428876967388195
4,3,different,0.03406841927063157
4,4,previous actions,0.031842579558160514
4,5,error,0.031558607264917424
4,6,state previous,0.030853804306039786
4,7,candidates,0.02988407647700303
4,8,generate,0.029825265947108187
4,9,different previous,0.028916863419080934
4,10,actions different,0.028514030359486686
4,11,previous action,0.027106867948758842
4,12,response,0.027034471478963918
4,13,failed,0.0251433212897835
4,14,example_value,0.023841545294392946
4,15,api,0.02357567340746766
4,16,description example_value,0.02285790685060106
4,17,error response,0.021515517094465156
4,18,id,0.021240421286874804
4,19,based,0.020925627601112367
4,20,data,0.02089894464646299
