pattern_text,pattern_length,overall_support_count,overall_support_percent,Intent_Misunderstanding_count,Intent_Misunderstanding_percent,Wrong_Tool_Selection_count,Wrong_Tool_Selection_percent,Parameter_Hallucination_count,Parameter_Hallucination_percent,Execution_Cascading_Error_count,Execution_Cascading_Error_percent,No_Failure_count,No_Failure_percent
USER → ASSISTANT,2,2105,100.0,534,100.0,359,100.0,362,100.0,561,100.0,289,100.0
USER → ASSISTANT → TOOL → ASSISTANT,4,1746,82.94536817102139,414,77.52808988764045,296,82.45125348189416,311,85.91160220994475,556,99.10873440285205,169,58.47750865051903
ASSISTANT → TOOL → ASSISTANT,3,1746,82.94536817102139,414,77.52808988764045,296,82.45125348189416,311,85.91160220994475,556,99.10873440285205,169,58.47750865051903
USER → ASSISTANT → ASSISTANT,3,1746,82.94536817102139,414,77.52808988764045,296,82.45125348189416,311,85.91160220994475,556,99.10873440285205,169,58.47750865051903
USER → ASSISTANT → TOOL,3,1746,82.94536817102139,414,77.52808988764045,296,82.45125348189416,311,85.91160220994475,556,99.10873440285205,169,58.47750865051903
USER → TOOL → ASSISTANT,3,1746,82.94536817102139,414,77.52808988764045,296,82.45125348189416,311,85.91160220994475,556,99.10873440285205,169,58.47750865051903
ASSISTANT → ASSISTANT,2,1746,82.94536817102139,414,77.52808988764045,296,82.45125348189416,311,85.91160220994475,556,99.10873440285205,169,58.47750865051903
ASSISTANT → TOOL,2,1746,82.94536817102139,414,77.52808988764045,296,82.45125348189416,311,85.91160220994475,556,99.10873440285205,169,58.47750865051903
TOOL → ASSISTANT,2,1746,82.94536817102139,414,77.52808988764045,296,82.45125348189416,311,85.91160220994475,556,99.10873440285205,169,58.47750865051903
USER → TOOL,2,1746,82.94536817102139,414,77.52808988764045,296,82.45125348189416,311,85.91160220994475,556,99.10873440285205,169,58.47750865051903
USER → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,6,1385,65.7957244655582,327,61.23595505617978,225,62.67409470752089,261,72.09944751381215,475,84.67023172905526,97,33.56401384083045
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,5,1385,65.7957244655582,327,61.23595505617978,225,62.67409470752089,261,72.09944751381215,475,84.67023172905526,97,33.56401384083045
