pattern_text,pattern_length,overall_support_count,overall_support_percent,Intent_Misunderstanding_count,Intent_Misunderstanding_percent,Wrong_Tool_Selection_count,Wrong_Tool_Selection_percent,Parameter_Hallucination_count,Parameter_Hallucination_percent,Execution_Cascading_Error_count,Execution_Cascading_Error_percent,No_Failure_count,No_Failure_percent
USER → ASSISTANT,2,4000,100.0,943,100.0,834,100.0,745,100.0,927,100.0,551,100.0
USER → ASSISTANT → TOOL → ASSISTANT,4,3323,83.075,728,77.20042417815482,695,83.33333333333334,646,86.71140939597315,922,99.46062567421791,332,60.254083484573506
ASSISTANT → TOOL → ASSISTANT,3,3323,83.075,728,77.20042417815482,695,83.33333333333334,646,86.71140939597315,922,99.46062567421791,332,60.254083484573506
USER → ASSISTANT → ASSISTANT,3,3323,83.075,728,77.20042417815482,695,83.33333333333334,646,86.71140939597315,922,99.46062567421791,332,60.254083484573506
USER → ASSISTANT → TOOL,3,3323,83.075,728,77.20042417815482,695,83.33333333333334,646,86.71140939597315,922,99.46062567421791,332,60.254083484573506
USER → TOOL → ASSISTANT,3,3323,83.075,728,77.20042417815482,695,83.33333333333334,646,86.71140939597315,922,99.46062567421791,332,60.254083484573506
ASSISTANT → ASSISTANT,2,3323,83.075,728,77.20042417815482,695,83.33333333333334,646,86.71140939597315,922,99.46062567421791,332,60.254083484573506
ASSISTANT → TOOL,2,3323,83.075,728,77.20042417815482,695,83.33333333333334,646,86.71140939597315,922,99.46062567421791,332,60.254083484573506
TOOL → ASSISTANT,2,3323,83.075,728,77.20042417815482,695,83.33333333333334,646,86.71140939597315,922,99.46062567421791,332,60.254083484573506
USER → TOOL,2,3323,83.075,728,77.20042417815482,695,83.33333333333334,646,86.71140939597315,922,99.46062567421791,332,60.254083484573506
USER → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,6,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,5,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
USER → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,5,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
USER → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,5,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
USER → ASSISTANT → TOOL → ASSISTANT → TOOL,5,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
USER → ASSISTANT → TOOL → TOOL → ASSISTANT,5,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
USER → TOOL → ASSISTANT → TOOL → ASSISTANT,5,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
ASSISTANT → ASSISTANT → TOOL → ASSISTANT,4,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
ASSISTANT → TOOL → ASSISTANT → ASSISTANT,4,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
ASSISTANT → TOOL → ASSISTANT → TOOL,4,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
ASSISTANT → TOOL → TOOL → ASSISTANT,4,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
TOOL → ASSISTANT → TOOL → ASSISTANT,4,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
USER → ASSISTANT → ASSISTANT → ASSISTANT,4,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
USER → ASSISTANT → ASSISTANT → TOOL,4,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
USER → ASSISTANT → TOOL → TOOL,4,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
USER → TOOL → ASSISTANT → ASSISTANT,4,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
USER → TOOL → ASSISTANT → TOOL,4,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
USER → TOOL → TOOL → ASSISTANT,4,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
ASSISTANT → ASSISTANT → ASSISTANT,3,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
ASSISTANT → ASSISTANT → TOOL,3,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
ASSISTANT → TOOL → TOOL,3,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
TOOL → ASSISTANT → ASSISTANT,3,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
TOOL → ASSISTANT → TOOL,3,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
TOOL → TOOL → ASSISTANT,3,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
USER → TOOL → TOOL,3,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
TOOL → TOOL,2,2634,65.85,576,61.08165429480382,540,64.74820143884892,540,72.48322147651007,789,85.11326860841424,189,34.30127041742287
USER → USER → ASSISTANT,3,2328,58.199999999999996,586,62.142099681866384,552,66.18705035971223,454,60.939597315436245,644,69.47141316073355,92,16.696914700544465
USER → USER,2,2328,58.199999999999996,586,62.142099681866384,552,66.18705035971223,454,60.939597315436245,644,69.47141316073355,92,16.696914700544465
ASSISTANT → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,6,1897,47.425,419,44.432661717921526,404,48.44124700239808,408,54.76510067114094,568,61.272923408845735,98,17.78584392014519
ASSISTANT → TOOL → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,6,1897,47.425,419,44.432661717921526,404,48.44124700239808,408,54.76510067114094,568,61.272923408845735,98,17.78584392014519
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,6,1897,47.425,419,44.432661717921526,404,48.44124700239808,408,54.76510067114094,568,61.272923408845735,98,17.78584392014519
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT → TOOL,6,1897,47.425,419,44.432661717921526,404,48.44124700239808,408,54.76510067114094,568,61.272923408845735,98,17.78584392014519
ASSISTANT → TOOL → ASSISTANT → TOOL → TOOL → ASSISTANT,6,1897,47.425,419,44.432661717921526,404,48.44124700239808,408,54.76510067114094,568,61.272923408845735,98,17.78584392014519
ASSISTANT → TOOL → TOOL → ASSISTANT → TOOL → ASSISTANT,6,1897,47.425,419,44.432661717921526,404,48.44124700239808,408,54.76510067114094,568,61.272923408845735,98,17.78584392014519
TOOL → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,6,1897,47.425,419,44.432661717921526,404,48.44124700239808,408,54.76510067114094,568,61.272923408845735,98,17.78584392014519
