pattern_text,pattern_length,support_count,support_percent
USER → ASSISTANT,2,2105,100.0
USER → ASSISTANT → TOOL → ASSISTANT,4,1746,82.94536817102139
ASSISTANT → TOOL → ASSISTANT,3,1746,82.94536817102139
USER → ASSISTANT → ASSISTANT,3,1746,82.94536817102139
USER → ASSISTANT → TOOL,3,1746,82.94536817102139
USER → TOOL → ASSISTANT,3,1746,82.94536817102139
ASSISTANT → ASSISTANT,2,1746,82.94536817102139
ASSISTANT → TOOL,2,1746,82.94536817102139
TOOL → ASSISTANT,2,1746,82.94536817102139
USER → TOOL,2,1746,82.94536817102139
USER → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,6,1385,65.7957244655582
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,5,1385,65.7957244655582
USER → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,5,1385,65.7957244655582
USER → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,5,1385,65.7957244655582
USER → ASSISTANT → TOOL → ASSISTANT → TOOL,5,1385,65.7957244655582
USER → ASSISTANT → TOOL → TOOL → ASSISTANT,5,1385,65.7957244655582
USER → TOOL → ASSISTANT → TOOL → ASSISTANT,5,1385,65.7957244655582
ASSISTANT → ASSISTANT → TOOL → ASSISTANT,4,1385,65.7957244655582
ASSISTANT → TOOL → ASSISTANT → ASSISTANT,4,1385,65.7957244655582
ASSISTANT → TOOL → ASSISTANT → TOOL,4,1385,65.7957244655582
ASSISTANT → TOOL → TOOL → ASSISTANT,4,1385,65.7957244655582
TOOL → ASSISTANT → TOOL → ASSISTANT,4,1385,65.7957244655582
USER → ASSISTANT → ASSISTANT → ASSISTANT,4,1385,65.7957244655582
USER → ASSISTANT → ASSISTANT → TOOL,4,1385,65.7957244655582
USER → ASSISTANT → TOOL → TOOL,4,1385,65.7957244655582
USER → TOOL → ASSISTANT → ASSISTANT,4,1385,65.7957244655582
USER → TOOL → ASSISTANT → TOOL,4,1385,65.7957244655582
USER → TOOL → TOOL → ASSISTANT,4,1385,65.7957244655582
ASSISTANT → ASSISTANT → ASSISTANT,3,1385,65.7957244655582
ASSISTANT → ASSISTANT → TOOL,3,1385,65.7957244655582
ASSISTANT → TOOL → TOOL,3,1385,65.7957244655582
TOOL → ASSISTANT → ASSISTANT,3,1385,65.7957244655582
TOOL → ASSISTANT → TOOL,3,1385,65.7957244655582
TOOL → TOOL → ASSISTANT,3,1385,65.7957244655582
USER → TOOL → TOOL,3,1385,65.7957244655582
TOOL → TOOL,2,1385,65.7957244655582
USER → USER → ASSISTANT,3,1209,57.43467933491686
USER → USER,2,1209,57.43467933491686
ASSISTANT → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,6,999,47.458432304038006
ASSISTANT → TOOL → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,6,999,47.458432304038006
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,6,999,47.458432304038006
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT → TOOL,6,999,47.458432304038006
ASSISTANT → TOOL → ASSISTANT → TOOL → TOOL → ASSISTANT,6,999,47.458432304038006
ASSISTANT → TOOL → TOOL → ASSISTANT → TOOL → ASSISTANT,6,999,47.458432304038006
TOOL → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,6,999,47.458432304038006
