pattern_text,pattern_length,support_count,support_percent
USER → ASSISTANT,2,4000,100.0
USER → ASSISTANT → TOOL → ASSISTANT,4,3323,83.075
ASSISTANT → TOOL → ASSISTANT,3,3323,83.075
USER → ASSISTANT → ASSISTANT,3,3323,83.075
USER → ASSISTANT → TOOL,3,3323,83.075
USER → TOOL → ASSISTANT,3,3323,83.075
ASSISTANT → ASSISTANT,2,3323,83.075
ASSISTANT → TOOL,2,3323,83.075
TOOL → ASSISTANT,2,3323,83.075
USER → TOOL,2,3323,83.075
USER → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,6,2634,65.85
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,5,2634,65.85
USER → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,5,2634,65.85
USER → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,5,2634,65.85
USER → ASSISTANT → TOOL → ASSISTANT → TOOL,5,2634,65.85
USER → ASSISTANT → TOOL → TOOL → ASSISTANT,5,2634,65.85
USER → TOOL → ASSISTANT → TOOL → ASSISTANT,5,2634,65.85
ASSISTANT → ASSISTANT → TOOL → ASSISTANT,4,2634,65.85
ASSISTANT → TOOL → ASSISTANT → ASSISTANT,4,2634,65.85
ASSISTANT → TOOL → ASSISTANT → TOOL,4,2634,65.85
ASSISTANT → TOOL → TOOL → ASSISTANT,4,2634,65.85
TOOL → ASSISTANT → TOOL → ASSISTANT,4,2634,65.85
USER → ASSISTANT → ASSISTANT → ASSISTANT,4,2634,65.85
USER → ASSISTANT → ASSISTANT → TOOL,4,2634,65.85
USER → ASSISTANT → TOOL → TOOL,4,2634,65.85
USER → TOOL → ASSISTANT → ASSISTANT,4,2634,65.85
USER → TOOL → ASSISTANT → TOOL,4,2634,65.85
USER → TOOL → TOOL → ASSISTANT,4,2634,65.85
ASSISTANT → ASSISTANT → ASSISTANT,3,2634,65.85
ASSISTANT → ASSISTANT → TOOL,3,2634,65.85
ASSISTANT → TOOL → TOOL,3,2634,65.85
TOOL → ASSISTANT → ASSISTANT,3,2634,65.85
TOOL → ASSISTANT → TOOL,3,2634,65.85
TOOL → TOOL → ASSISTANT,3,2634,65.85
USER → TOOL → TOOL,3,2634,65.85
TOOL → TOOL,2,2634,65.85
USER → USER → ASSISTANT,3,2328,58.199999999999996
USER → USER,2,2328,58.199999999999996
ASSISTANT → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,6,1897,47.425
ASSISTANT → TOOL → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,6,1897,47.425
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,6,1897,47.425
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT → TOOL,6,1897,47.425
ASSISTANT → TOOL → ASSISTANT → TOOL → TOOL → ASSISTANT,6,1897,47.425
ASSISTANT → TOOL → TOOL → ASSISTANT → TOOL → ASSISTANT,6,1897,47.425
TOOL → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,6,1897,47.425
USER → ASSISTANT → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,6,1897,47.425
USER → ASSISTANT → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,6,1897,47.425
USER → ASSISTANT → ASSISTANT → TOOL → ASSISTANT → TOOL,6,1897,47.425
USER → ASSISTANT → ASSISTANT → TOOL → TOOL → ASSISTANT,6,1897,47.425
USER → ASSISTANT → TOOL → ASSISTANT → ASSISTANT → ASSISTANT,6,1897,47.425
USER → ASSISTANT → TOOL → ASSISTANT → ASSISTANT → TOOL,6,1897,47.425
USER → ASSISTANT → TOOL → ASSISTANT → TOOL → TOOL,6,1897,47.425
USER → ASSISTANT → TOOL → TOOL → ASSISTANT → ASSISTANT,6,1897,47.425
USER → ASSISTANT → TOOL → TOOL → ASSISTANT → TOOL,6,1897,47.425
USER → ASSISTANT → TOOL → TOOL → TOOL → ASSISTANT,6,1897,47.425
USER → TOOL → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,6,1897,47.425
USER → TOOL → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,6,1897,47.425
USER → TOOL → ASSISTANT → TOOL → ASSISTANT → TOOL,6,1897,47.425
USER → TOOL → ASSISTANT → TOOL → TOOL → ASSISTANT,6,1897,47.425
USER → TOOL → TOOL → ASSISTANT → TOOL → ASSISTANT,6,1897,47.425
ASSISTANT → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,5,1897,47.425
ASSISTANT → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,5,1897,47.425
ASSISTANT → ASSISTANT → TOOL → ASSISTANT → TOOL,5,1897,47.425
ASSISTANT → ASSISTANT → TOOL → TOOL → ASSISTANT,5,1897,47.425
ASSISTANT → TOOL → ASSISTANT → ASSISTANT → ASSISTANT,5,1897,47.425
ASSISTANT → TOOL → ASSISTANT → ASSISTANT → TOOL,5,1897,47.425
ASSISTANT → TOOL → ASSISTANT → TOOL → TOOL,5,1897,47.425
ASSISTANT → TOOL → TOOL → ASSISTANT → ASSISTANT,5,1897,47.425
ASSISTANT → TOOL → TOOL → ASSISTANT → TOOL,5,1897,47.425
ASSISTANT → TOOL → TOOL → TOOL → ASSISTANT,5,1897,47.425
TOOL → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,5,1897,47.425
TOOL → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,5,1897,47.425
TOOL → ASSISTANT → TOOL → ASSISTANT → TOOL,5,1897,47.425
TOOL → ASSISTANT → TOOL → TOOL → ASSISTANT,5,1897,47.425
TOOL → TOOL → ASSISTANT → TOOL → ASSISTANT,5,1897,47.425
