pattern_text,failure_type,overall_support_percent,class_support_percent,enrichment_ratio
ASSISTANT → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,47.458432304038006,62.38859180035651,1.3145944518493538
ASSISTANT → TOOL → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,47.458432304038006,62.38859180035651,1.3145944518493538
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,Execution/Cascading Error,47.458432304038006,62.38859180035651,1.3145944518493538
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT → TOOL,Execution/Cascading Error,47.458432304038006,62.38859180035651,1.3145944518493538
ASSISTANT → TOOL → ASSISTANT → TOOL → TOOL → ASSISTANT,Execution/Cascading Error,47.458432304038006,62.38859180035651,1.3145944518493538
ASSISTANT → TOOL → TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,47.458432304038006,62.38859180035651,1.3145944518493538
TOOL → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,47.458432304038006,62.38859180035651,1.3145944518493538
USER → ASSISTANT → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,47.458432304038006,62.38859180035651,1.3145944518493538
USER → ASSISTANT → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,Execution/Cascading Error,47.458432304038006,62.38859180035651,1.3145944518493538
USER → ASSISTANT → ASSISTANT → TOOL → ASSISTANT → TOOL,Execution/Cascading Error,47.458432304038006,62.38859180035651,1.3145944518493538
USER → ASSISTANT → ASSISTANT → TOOL → TOOL → ASSISTANT,Execution/Cascading Error,47.458432304038006,62.38859180035651,1.3145944518493538
USER → ASSISTANT → TOOL → ASSISTANT → ASSISTANT → ASSISTANT,Execution/Cascading Error,47.458432304038006,62.38859180035651,1.3145944518493538
USER → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
USER → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
USER → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
USER → ASSISTANT → TOOL → ASSISTANT → TOOL,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
USER → ASSISTANT → TOOL → TOOL → ASSISTANT,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
USER → TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
ASSISTANT → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
ASSISTANT → TOOL → ASSISTANT → ASSISTANT,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
ASSISTANT → TOOL → ASSISTANT → TOOL,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
ASSISTANT → TOOL → TOOL → ASSISTANT,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
USER → ASSISTANT → ASSISTANT → ASSISTANT,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
USER → ASSISTANT → ASSISTANT → TOOL,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
USER → ASSISTANT → TOOL → TOOL,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
USER → TOOL → ASSISTANT → ASSISTANT,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
USER → TOOL → ASSISTANT → TOOL,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
USER → TOOL → TOOL → ASSISTANT,Execution/Cascading Error,65.7957244655582,84.67023172905526,1.2868652547989987
