pattern_text,failure_type,overall_support_percent,class_support_percent,enrichment_ratio
USER → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
USER → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
USER → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
USER → ASSISTANT → TOOL → ASSISTANT → TOOL,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
USER → ASSISTANT → TOOL → TOOL → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
USER → TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
ASSISTANT → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
ASSISTANT → TOOL → ASSISTANT → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
ASSISTANT → TOOL → ASSISTANT → TOOL,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
ASSISTANT → TOOL → TOOL → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
USER → ASSISTANT → ASSISTANT → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
USER → ASSISTANT → ASSISTANT → TOOL,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
USER → ASSISTANT → TOOL → TOOL,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
USER → TOOL → ASSISTANT → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
USER → TOOL → ASSISTANT → TOOL,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
USER → TOOL → TOOL → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
ASSISTANT → ASSISTANT → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
ASSISTANT → ASSISTANT → TOOL,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
ASSISTANT → TOOL → TOOL,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
TOOL → ASSISTANT → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
TOOL → ASSISTANT → TOOL,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
TOOL → TOOL → ASSISTANT,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
USER → TOOL → TOOL,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
TOOL → TOOL,Execution/Cascading Error,65.85,85.11326860841424,1.2925325528992293
ASSISTANT → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,47.425,61.272923408845735,1.29199627641214
ASSISTANT → TOOL → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,47.425,61.272923408845735,1.29199627641214
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,Execution/Cascading Error,47.425,61.272923408845735,1.29199627641214
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT → TOOL,Execution/Cascading Error,47.425,61.272923408845735,1.29199627641214
ASSISTANT → TOOL → ASSISTANT → TOOL → TOOL → ASSISTANT,Execution/Cascading Error,47.425,61.272923408845735,1.29199627641214
ASSISTANT → TOOL → TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,47.425,61.272923408845735,1.29199627641214
TOOL → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,47.425,61.272923408845735,1.29199627641214
USER → ASSISTANT → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,47.425,61.272923408845735,1.29199627641214
USER → ASSISTANT → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,Execution/Cascading Error,47.425,61.272923408845735,1.29199627641214
USER → ASSISTANT → ASSISTANT → TOOL → ASSISTANT → TOOL,Execution/Cascading Error,47.425,61.272923408845735,1.29199627641214
USER → ASSISTANT → ASSISTANT → TOOL → TOOL → ASSISTANT,Execution/Cascading Error,47.425,61.272923408845735,1.29199627641214
USER → ASSISTANT → TOOL → ASSISTANT → ASSISTANT → ASSISTANT,Execution/Cascading Error,47.425,61.272923408845735,1.29199627641214
USER → ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,83.075,99.46062567421791,1.197238948831994
ASSISTANT → TOOL → ASSISTANT,Execution/Cascading Error,83.075,99.46062567421791,1.197238948831994
