pattern_text,pattern_length,support_count,support_percent,failure_type,class_size,min_support_count
USER → ASSISTANT,2,534,100.0,Intent Misunderstanding,534,27
USER → ASSISTANT → TOOL → ASSISTANT,4,414,77.52808988764045,Intent Misunderstanding,534,27
ASSISTANT → TOOL → ASSISTANT,3,414,77.52808988764045,Intent Misunderstanding,534,27
USER → ASSISTANT → ASSISTANT,3,414,77.52808988764045,Intent Misunderstanding,534,27
USER → ASSISTANT → TOOL,3,414,77.52808988764045,Intent Misunderstanding,534,27
USER → TOOL → ASSISTANT,3,414,77.52808988764045,Intent Misunderstanding,534,27
ASSISTANT → ASSISTANT,2,414,77.52808988764045,Intent Misunderstanding,534,27
ASSISTANT → TOOL,2,414,77.52808988764045,Intent Misunderstanding,534,27
TOOL → ASSISTANT,2,414,77.52808988764045,Intent Misunderstanding,534,27
USER → TOOL,2,414,77.52808988764045,Intent Misunderstanding,534,27
USER → USER → ASSISTANT,3,341,63.857677902621724,Intent Misunderstanding,534,27
USER → USER,2,341,63.857677902621724,Intent Misunderstanding,534,27
USER → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,6,327,61.23595505617978,Intent Misunderstanding,534,27
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,5,327,61.23595505617978,Intent Misunderstanding,534,27
USER → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,5,327,61.23595505617978,Intent Misunderstanding,534,27
USER → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,5,327,61.23595505617978,Intent Misunderstanding,534,27
USER → ASSISTANT → TOOL → ASSISTANT → TOOL,5,327,61.23595505617978,Intent Misunderstanding,534,27
USER → ASSISTANT → TOOL → TOOL → ASSISTANT,5,327,61.23595505617978,Intent Misunderstanding,534,27
USER → TOOL → ASSISTANT → TOOL → ASSISTANT,5,327,61.23595505617978,Intent Misunderstanding,534,27
ASSISTANT → ASSISTANT → TOOL → ASSISTANT,4,327,61.23595505617978,Intent Misunderstanding,534,27
ASSISTANT → TOOL → ASSISTANT → ASSISTANT,4,327,61.23595505617978,Intent Misunderstanding,534,27
ASSISTANT → TOOL → ASSISTANT → TOOL,4,327,61.23595505617978,Intent Misunderstanding,534,27
ASSISTANT → TOOL → TOOL → ASSISTANT,4,327,61.23595505617978,Intent Misunderstanding,534,27
TOOL → ASSISTANT → TOOL → ASSISTANT,4,327,61.23595505617978,Intent Misunderstanding,534,27
USER → ASSISTANT → ASSISTANT → ASSISTANT,4,327,61.23595505617978,Intent Misunderstanding,534,27
USER → ASSISTANT → ASSISTANT → TOOL,4,327,61.23595505617978,Intent Misunderstanding,534,27
