pattern_text,pattern_length,support_count,support_percent,failure_type,class_size,min_support_count
USER → ASSISTANT,2,943,100.0,Intent Misunderstanding,943,48
USER → ASSISTANT → TOOL → ASSISTANT,4,728,77.20042417815482,Intent Misunderstanding,943,48
ASSISTANT → TOOL → ASSISTANT,3,728,77.20042417815482,Intent Misunderstanding,943,48
USER → ASSISTANT → ASSISTANT,3,728,77.20042417815482,Intent Misunderstanding,943,48
USER → ASSISTANT → TOOL,3,728,77.20042417815482,Intent Misunderstanding,943,48
USER → TOOL → ASSISTANT,3,728,77.20042417815482,Intent Misunderstanding,943,48
ASSISTANT → ASSISTANT,2,728,77.20042417815482,Intent Misunderstanding,943,48
ASSISTANT → TOOL,2,728,77.20042417815482,Intent Misunderstanding,943,48
TOOL → ASSISTANT,2,728,77.20042417815482,Intent Misunderstanding,943,48
USER → TOOL,2,728,77.20042417815482,Intent Misunderstanding,943,48
USER → USER → ASSISTANT,3,586,62.142099681866384,Intent Misunderstanding,943,48
USER → USER,2,586,62.142099681866384,Intent Misunderstanding,943,48
USER → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,6,576,61.08165429480382,Intent Misunderstanding,943,48
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,5,576,61.08165429480382,Intent Misunderstanding,943,48
USER → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,5,576,61.08165429480382,Intent Misunderstanding,943,48
USER → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,5,576,61.08165429480382,Intent Misunderstanding,943,48
USER → ASSISTANT → TOOL → ASSISTANT → TOOL,5,576,61.08165429480382,Intent Misunderstanding,943,48
USER → ASSISTANT → TOOL → TOOL → ASSISTANT,5,576,61.08165429480382,Intent Misunderstanding,943,48
USER → TOOL → ASSISTANT → TOOL → ASSISTANT,5,576,61.08165429480382,Intent Misunderstanding,943,48
ASSISTANT → ASSISTANT → TOOL → ASSISTANT,4,576,61.08165429480382,Intent Misunderstanding,943,48
ASSISTANT → TOOL → ASSISTANT → ASSISTANT,4,576,61.08165429480382,Intent Misunderstanding,943,48
ASSISTANT → TOOL → ASSISTANT → TOOL,4,576,61.08165429480382,Intent Misunderstanding,943,48
ASSISTANT → TOOL → TOOL → ASSISTANT,4,576,61.08165429480382,Intent Misunderstanding,943,48
TOOL → ASSISTANT → TOOL → ASSISTANT,4,576,61.08165429480382,Intent Misunderstanding,943,48
USER → ASSISTANT → ASSISTANT → ASSISTANT,4,576,61.08165429480382,Intent Misunderstanding,943,48
USER → ASSISTANT → ASSISTANT → TOOL,4,576,61.08165429480382,Intent Misunderstanding,943,48
USER → ASSISTANT → TOOL → TOOL,4,576,61.08165429480382,Intent Misunderstanding,943,48
USER → TOOL → ASSISTANT → ASSISTANT,4,576,61.08165429480382,Intent Misunderstanding,943,48
USER → TOOL → ASSISTANT → TOOL,4,576,61.08165429480382,Intent Misunderstanding,943,48
USER → TOOL → TOOL → ASSISTANT,4,576,61.08165429480382,Intent Misunderstanding,943,48
ASSISTANT → ASSISTANT → ASSISTANT,3,576,61.08165429480382,Intent Misunderstanding,943,48
ASSISTANT → ASSISTANT → TOOL,3,576,61.08165429480382,Intent Misunderstanding,943,48
ASSISTANT → TOOL → TOOL,3,576,61.08165429480382,Intent Misunderstanding,943,48
TOOL → ASSISTANT → ASSISTANT,3,576,61.08165429480382,Intent Misunderstanding,943,48
TOOL → ASSISTANT → TOOL,3,576,61.08165429480382,Intent Misunderstanding,943,48
TOOL → TOOL → ASSISTANT,3,576,61.08165429480382,Intent Misunderstanding,943,48
USER → TOOL → TOOL,3,576,61.08165429480382,Intent Misunderstanding,943,48
TOOL → TOOL,2,576,61.08165429480382,Intent Misunderstanding,943,48
ASSISTANT → ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT,6,419,44.432661717921526,Intent Misunderstanding,943,48
ASSISTANT → TOOL → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,6,419,44.432661717921526,Intent Misunderstanding,943,48
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,6,419,44.432661717921526,Intent Misunderstanding,943,48
ASSISTANT → TOOL → ASSISTANT → TOOL → ASSISTANT → TOOL,6,419,44.432661717921526,Intent Misunderstanding,943,48
ASSISTANT → TOOL → ASSISTANT → TOOL → TOOL → ASSISTANT,6,419,44.432661717921526,Intent Misunderstanding,943,48
ASSISTANT → TOOL → TOOL → ASSISTANT → TOOL → ASSISTANT,6,419,44.432661717921526,Intent Misunderstanding,943,48
