rank,feature,importance
1,num_user_turns,0.16229471564292908
2,num_turns,0.08898165822029114
3,role_transitions,0.08540026098489761
4,num_function_turns,0.06841520965099335
5,repeated_role_transitions,0.05649785324931145
6,role_transition_ratio,0.050347041338682175
7,step_depth,0.04262542352080345
8,assistant_turn_ratio,0.03976192697882652
9,user_characters,0.0392361655831337
10,function_characters,0.03869985044002533
11,first_function_position,0.0360301174223423
12,last_function_position,0.03279845416545868
13,user_turn_ratio,0.030831774696707726
14,num_assistant_turns,0.02981802076101303
15,assistant_words,0.02934582531452179
16,total_words,0.029161620885133743
17,total_characters,0.028447747230529785
18,avg_chars_per_turn,0.027687205001711845
19,assistant_characters,0.027425112202763557
20,avg_words_per_turn,0.02664835937321186
21,function_turn_ratio,0.02435205690562725
22,has_function_call,0.005193592980504036
23,num_system_turns,0.0
