rank,feature,importance
1,num_function_turns,0.16185776889324188
2,num_turns,0.1575046330690384
3,role_transitions,0.0961800068616867
4,num_user_turns,0.0834738239645958
5,num_assistant_turns,0.0690099224448204
6,repeated_role_transitions,0.0536188930273056
7,user_characters,0.04143058508634567
8,function_characters,0.033954374492168427
9,role_transition_ratio,0.03386629745364189
10,assistant_turn_ratio,0.03189526125788689
11,last_function_position,0.027218060567975044
12,function_turn_ratio,0.02715541049838066
13,step_depth,0.024347927421331406
14,first_function_position,0.021459847688674927
15,assistant_characters,0.021141601726412773
16,assistant_words,0.020416835322976112
17,avg_chars_per_turn,0.019869286566972733
18,avg_words_per_turn,0.019652782008051872
19,total_words,0.01952117495238781
20,total_characters,0.019514422863721848
21,user_turn_ratio,0.016911225393414497
22,has_function_call,0.0
23,num_system_turns,0.0
