rank,feature,mean_abs_shap
1,function_characters,0.16653943
2,user_characters,0.16536465
3,avg_chars_per_turn,0.074986696
4,total_words,0.07287062
5,assistant_words,0.057361327
6,total_characters,0.05591776
7,assistant_characters,0.05515152
8,num_turns,0.047615033
9,num_user_turns,0.04174518
10,step_depth,0.03875878
11,avg_words_per_turn,0.038000375
12,role_transition_ratio,0.024743343
13,repeated_role_transitions,0.021797853
14,role_transitions,0.019626904
15,last_function_position,0.014909975
16,assistant_turn_ratio,0.013665195
17,function_turn_ratio,0.007056503
18,first_function_position,0.00405861
19,num_assistant_turns,0.0023514512
20,user_turn_ratio,0.0013038884
21,num_function_turns,0.001024426
22,has_function_call,3.836692e-05
23,num_system_turns,0.0
