rank,feature,mean_abs_shap
1,user_characters,0.16060798
2,function_characters,0.12926345
3,num_turns,0.06866915
4,total_characters,0.045903277
5,assistant_characters,0.045041017
6,assistant_words,0.04355337
7,avg_chars_per_turn,0.03751462
8,total_words,0.033509128
9,avg_words_per_turn,0.032784265
10,repeated_role_transitions,0.020350005
11,role_transition_ratio,0.019177428
12,step_depth,0.017978571
13,function_turn_ratio,0.014762387
14,role_transitions,0.014062875
15,last_function_position,0.012587129
16,num_user_turns,0.011723908
17,assistant_turn_ratio,0.008579573
18,num_assistant_turns,0.00375118
19,num_function_turns,0.0020209167
20,first_function_position,0.0015475901
21,user_turn_ratio,0.0010458803
22,has_function_call,0.0
23,num_system_turns,0.0
