step_depth,Intent Misunderstanding,Wrong Tool Selection,Parameter Hallucination,Execution/Cascading Error,No Failure
2,26.94610778443114,14.67065868263473,14.071856287425149,0.29940119760479045,44.01197604790419
3,36.82634730538922,26.646706586826348,14.97005988023952,1.7964071856287425,19.760479041916167
4,15.568862275449103,16.766467065868262,16.46706586826347,16.16766467065868,35.029940119760475
5,26.94610778443114,28.443113772455092,14.37125748502994,22.75449101796407,7.48502994011976
6,21.32132132132132,16.216216216216218,21.02102102102102,21.92192192192192,19.51951951951952
7,21.32132132132132,18.91891891891892,15.615615615615615,36.33633633633634,7.807807807807808
8,24.024024024024023,20.42042042042042,15.015015015015015,23.723723723723726,16.816816816816818
9,23.123123123123122,23.123123123123122,19.51951951951952,31.53153153153153,2.7027027027027026
10,21.92192192192192,20.42042042042042,23.123123123123122,29.72972972972973,4.804804804804805
11,22.22222222222222,21.02102102102102,21.32132132132132,33.633633633633636,1.8018018018018018
12,23.123123123123122,21.32132132132132,23.123123123123122,29.129129129129126,3.303303303303303
13,19.936708860759495,21.835443037974684,24.68354430379747,31.645569620253166,1.89873417721519
14,11.76470588235294,29.411764705882355,29.411764705882355,23.52941176470588,5.88235294117647
