external_annotation_id,toolhop_id
TH_0001,TOOLHOP_0026476a20bf
TH_0002,TOOLHOP_00a8a5c3f7ba
TH_0003,TOOLHOP_00f7eea0d077
TH_0004,TOOLHOP_01592d51db5a
TH_0005,TOOLHOP_020c48773625
TH_0006,TOOLHOP_0313e644f8fd
TH_0007,TOOLHOP_0486ffb0d9c8
TH_0008,TOOLHOP_05a53e3696e2
TH_0009,TOOLHOP_093f0b067a05
TH_0010,TOOLHOP_09d66f6e5482
TH_0011,TOOLHOP_0ade7c2cf97f
TH_0012,TOOLHOP_0b7f5ada6bdd
TH_0013,TOOLHOP_0b93caee71a9
TH_0014,TOOLHOP_0c0266790a98
TH_0015,TOOLHOP_11307768e6d7
TH_0016,TOOLHOP_1185401df4fc
TH_0017,TOOLHOP_12b15c8db6c7
TH_0018,TOOLHOP_12f0de3dc76e
TH_0019,TOOLHOP_135debd48370
TH_0020,TOOLHOP_154a31bf7fa8
TH_0021,TOOLHOP_15a17abee2bf
TH_0022,TOOLHOP_190c4a70068f
TH_0023,TOOLHOP_19187dc98dce
TH_0024,TOOLHOP_19a448c01aa2
TH_0025,TOOLHOP_1a16327c0d87
TH_0026,TOOLHOP_1b0a69d74c5a
TH_0027,TOOLHOP_1b4a364f76e9
TH_0028,TOOLHOP_1b75f1a8ff3b
TH_0029,TOOLHOP_1cc641954099
TH_0030,TOOLHOP_1d513c0bcbe3
TH_0031,TOOLHOP_1d57ccdb172a
TH_0032,TOOLHOP_1ecaebc17c51
TH_0033,TOOLHOP_201921914960
TH_0034,TOOLHOP_213483417380
TH_0035,TOOLHOP_22d200f8670d
TH_0036,TOOLHOP_22ef9733f340
TH_0037,TOOLHOP_25250e46745c
TH_0038,TOOLHOP_264bb3273d03
TH_0039,TOOLHOP_278e89d8c2da
TH_0040,TOOLHOP_27cfac714811
TH_0041,TOOLHOP_27e7efd0c42c
TH_0042,TOOLHOP_290a52e4dd62
TH_0043,TOOLHOP_2952aeca0fe1
TH_0044,TOOLHOP_2978e0c34dbe
TH_0045,TOOLHOP_298f93b1b0ef
TH_0046,TOOLHOP_2a459380709e
TH_0047,TOOLHOP_2a5ac580e608
TH_0048,TOOLHOP_2a8ae2469569
TH_0049,TOOLHOP_2c82513e25c5
TH_0050,TOOLHOP_2c9a62c3748f
TH_0051,TOOLHOP_2e01e1746789
TH_0052,TOOLHOP_2e946dff15fb
TH_0053,TOOLHOP_2eab55ee6916
TH_0054,TOOLHOP_2ef28d314a74
TH_0055,TOOLHOP_32f9e6523b5b
TH_0056,TOOLHOP_34c66477519b
TH_0057,TOOLHOP_3554dce55f34
TH_0058,TOOLHOP_389b4f6ee5bd
TH_0059,TOOLHOP_3a085d1bc5fa
TH_0060,TOOLHOP_3a69aa1b60fe
TH_0061,TOOLHOP_3b69df951b3d
TH_0062,TOOLHOP_3bb18d9ab531
TH_0063,TOOLHOP_3c155cb18334
TH_0064,TOOLHOP_3c26dffc8a2e
TH_0065,TOOLHOP_3c331613a26f
TH_0066,TOOLHOP_3cc5149977a9
TH_0067,TOOLHOP_3d5bdf107de5
TH_0068,TOOLHOP_3db2991a3bd1
TH_0069,TOOLHOP_3f1522d02559
TH_0070,TOOLHOP_3f4ed2f1010b
TH_0071,TOOLHOP_41f448afc826
TH_0072,TOOLHOP_4260e7eabc19
TH_0073,TOOLHOP_42d2a6ad49f9
TH_0074,TOOLHOP_43095da636f8
TH_0075,TOOLHOP_43814346e214
TH_0076,TOOLHOP_43b4d1d46562
TH_0077,TOOLHOP_44b2920d7e9c
TH_0078,TOOLHOP_45cbe19f3771
TH_0079,TOOLHOP_491173598037
TH_0080,TOOLHOP_49ca49195c1b
TH_0081,TOOLHOP_4ac2bbff5b52
TH_0082,TOOLHOP_4b14fe749393
TH_0083,TOOLHOP_4b2e392816d9
TH_0084,TOOLHOP_4b68e45a7674
TH_0085,TOOLHOP_4cae59930968
TH_0086,TOOLHOP_4d89d294cd4c
TH_0087,TOOLHOP_4dea1daedbe9
TH_0088,TOOLHOP_4e86d8c0a0eb
TH_0089,TOOLHOP_4ef47a459efc
TH_0090,TOOLHOP_51eac6b471a2
TH_0091,TOOLHOP_524e05dc7723
TH_0092,TOOLHOP_584130e068c3
TH_0093,TOOLHOP_59129aacfb6c
TH_0094,TOOLHOP_5994e39b009f
TH_0095,TOOLHOP_5a14ec71168c
TH_0096,TOOLHOP_5a5b0f9b7d3f
TH_0097,TOOLHOP_5a73b747ec74
TH_0098,TOOLHOP_5b5b3319a315
TH_0099,TOOLHOP_5cff99d9ee98
TH_0100,TOOLHOP_5d00f2c62873
TH_0101,TOOLHOP_5e796e48332a
TH_0102,TOOLHOP_5f573b82f1da
TH_0103,TOOLHOP_5f6955d227a3
TH_0104,TOOLHOP_5fd7e33e01c8
TH_0105,TOOLHOP_60ab32370019
TH_0106,TOOLHOP_620807a1bbd6
TH_0107,TOOLHOP_624ec06de690
TH_0108,TOOLHOP_632667547e7c
TH_0109,TOOLHOP_639d67af2a68
TH_0110,TOOLHOP_664352171132
TH_0111,TOOLHOP_66c4d1ec6dad
TH_0112,TOOLHOP_6b0f4d999089
TH_0113,TOOLHOP_6c4c04be8f82
TH_0114,TOOLHOP_6cc71d91778f
TH_0115,TOOLHOP_6d0e1050797b
TH_0116,TOOLHOP_6d3eeb1a2cc4
TH_0117,TOOLHOP_6e21fce62b88
TH_0118,TOOLHOP_6ef2c7d1d434
TH_0119,TOOLHOP_6f8246002c1c
TH_0120,TOOLHOP_6fb84aed32fa
TH_0121,TOOLHOP_6fe3dfe31468
TH_0122,TOOLHOP_71ef3ed06953
TH_0123,TOOLHOP_72c1975b93f0
TH_0124,TOOLHOP_74cbd2c215c2
TH_0125,TOOLHOP_75988f5ac057
TH_0126,TOOLHOP_76546f9a641e
TH_0127,TOOLHOP_7719a1c782a1
TH_0128,TOOLHOP_775bc5c30e27
TH_0129,TOOLHOP_7884821233b4
TH_0130,TOOLHOP_7a698699a922
TH_0131,TOOLHOP_7a95563490d8
TH_0132,TOOLHOP_7d9f2b808265
TH_0133,TOOLHOP_7edab1f00ca6
TH_0134,TOOLHOP_7ee08d3afb3a
TH_0135,TOOLHOP_80e28a51cbc2
TH_0136,TOOLHOP_812ed4562d32
TH_0137,TOOLHOP_81d51c78e638
TH_0138,TOOLHOP_828f720439ce
TH_0139,TOOLHOP_8383da94fbc3
TH_0140,TOOLHOP_84b0b577501b
TH_0141,TOOLHOP_85f1002bf139
TH_0142,TOOLHOP_8665243ef242
TH_0143,TOOLHOP_867cd58f3fe3
TH_0144,TOOLHOP_86970064ea53
TH_0145,TOOLHOP_86e55aec99bf
TH_0146,TOOLHOP_8746b7e5d534
TH_0147,TOOLHOP_89a1c105a472
TH_0148,TOOLHOP_8a1beaee63fe
TH_0149,TOOLHOP_8a279e5c5354
TH_0150,TOOLHOP_8b4753ed1cb2
TH_0151,TOOLHOP_8d163d76c569
TH_0152,TOOLHOP_8d6f9131366d
TH_0153,TOOLHOP_8de23aaaec61
TH_0154,TOOLHOP_8e6b8a73bce7
TH_0155,TOOLHOP_8effee409c62
TH_0156,TOOLHOP_8ff059157542
TH_0157,TOOLHOP_902ba3cda188
TH_0158,TOOLHOP_90af7edbfd8a
TH_0159,TOOLHOP_918fc64d3247
TH_0160,TOOLHOP_91afc4c29170
TH_0161,TOOLHOP_91eb375e8e71
TH_0162,TOOLHOP_93acc66a6e5f
TH_0163,TOOLHOP_96086e4f73c9
TH_0164,TOOLHOP_96e388c0b3b7
TH_0165,TOOLHOP_9741f79aca77
TH_0166,TOOLHOP_97705a95fdc2
TH_0167,TOOLHOP_98fbc42faedc
TH_0168,TOOLHOP_9a3d6127374a
TH_0169,TOOLHOP_9a70776c7433
TH_0170,TOOLHOP_9c676e003b89
TH_0171,TOOLHOP_9d323717c1d5
TH_0172,TOOLHOP_9d4650d4e894
TH_0173,TOOLHOP_9d6ad3cc125c
TH_0174,TOOLHOP_9d8974baddfc
TH_0175,TOOLHOP_9d94ce174298
TH_0176,TOOLHOP_9e071a3a594a
TH_0177,TOOLHOP_9f682df24566
TH_0178,TOOLHOP_a093a39de68a
TH_0179,TOOLHOP_a0d04378f379
TH_0180,TOOLHOP_a1422e6a1686
TH_0181,TOOLHOP_a1496d4ad0a3
TH_0182,TOOLHOP_a17554a0d2b1
TH_0183,TOOLHOP_a3d12597f93e
TH_0184,TOOLHOP_a4c36ded9dbf
TH_0185,TOOLHOP_a51c55ccd92d
TH_0186,TOOLHOP_a785bdbf3c99
TH_0187,TOOLHOP_a85f2d02e23c
TH_0188,TOOLHOP_a93c16832314
TH_0189,TOOLHOP_ac3478d69a3c
TH_0190,TOOLHOP_ac9c95776042
TH_0191,TOOLHOP_acf10f2c0a9d
TH_0192,TOOLHOP_acfdd18ea7f4
TH_0193,TOOLHOP_ae5ffa6599c8
TH_0194,TOOLHOP_aeaa8a872d9d
TH_0195,TOOLHOP_af53d4aa0b91
TH_0196,TOOLHOP_af7166a5d6dd
TH_0197,TOOLHOP_b1b986990332
TH_0198,TOOLHOP_b1d5781111d8
TH_0199,TOOLHOP_b37f6ddcefad
TH_0200,TOOLHOP_b3be0e5932b8
TH_0201,TOOLHOP_b4ef7df17d3d
TH_0202,TOOLHOP_b6692ea5df92
TH_0203,TOOLHOP_b6e7a22c25e9
TH_0204,TOOLHOP_b7103ca278a7
TH_0205,TOOLHOP_b903ea6300ff
TH_0206,TOOLHOP_ba30fd97b412
TH_0207,TOOLHOP_ba613d1fc0d9
TH_0208,TOOLHOP_baab34018148
TH_0209,TOOLHOP_bc60205da255
TH_0210,TOOLHOP_bc62305b6cff
TH_0211,TOOLHOP_bcf814ab4150
TH_0212,TOOLHOP_be461a0cd1fd
TH_0213,TOOLHOP_be4d979ef980
TH_0214,TOOLHOP_beba4d5d3ffb
TH_0215,TOOLHOP_c097638f92de
TH_0216,TOOLHOP_c2145e337ae6
TH_0217,TOOLHOP_c28097ad29ab
TH_0218,TOOLHOP_c2fc6ebf83d1
TH_0219,TOOLHOP_c32a67a05e6b
TH_0220,TOOLHOP_c35a9fc52bb5
TH_0221,TOOLHOP_c415505dca69
TH_0222,TOOLHOP_c44201fe5bac
TH_0223,TOOLHOP_c837307a9a2a
TH_0224,TOOLHOP_c8c06cfae2f5
TH_0225,TOOLHOP_c99a2a26bd03
TH_0226,TOOLHOP_c9a4b8932ab9
TH_0227,TOOLHOP_c9ca44276565
TH_0228,TOOLHOP_c9f13c161440
TH_0229,TOOLHOP_ca3512f4dfa9
TH_0230,TOOLHOP_cb4dd52770e2
TH_0231,TOOLHOP_cb6c53bcb82b
TH_0232,TOOLHOP_cc8cd1ceed58
TH_0233,TOOLHOP_cce637a738ce
TH_0234,TOOLHOP_cf3240611190
TH_0235,TOOLHOP_d0226f9e35da
TH_0236,TOOLHOP_d051bf1ddf82
TH_0237,TOOLHOP_d094700e379f
TH_0238,TOOLHOP_d321d6f7ccf9
TH_0239,TOOLHOP_d435a6cdd786
TH_0240,TOOLHOP_d5155d043a8e
TH_0241,TOOLHOP_d54ad009d179
TH_0242,TOOLHOP_d64ce8d6017f
TH_0243,TOOLHOP_d69b923df614
TH_0244,TOOLHOP_d8502b7d7748
TH_0245,TOOLHOP_d96adb142a1f
TH_0246,TOOLHOP_da4b9237bacc
TH_0247,TOOLHOP_dbc0f0048544
TH_0248,TOOLHOP_dbe8ddfe63ca
TH_0249,TOOLHOP_dc51d239fbce
TH_0250,TOOLHOP_dca7d04102c3
TH_0251,TOOLHOP_dcd7d0e3f3c0
TH_0252,TOOLHOP_dcdee608f073
TH_0253,TOOLHOP_de8627f75ba1
TH_0254,TOOLHOP_df518c2e0702
TH_0255,TOOLHOP_e076fa133a86
TH_0256,TOOLHOP_e1a864f0b77f
TH_0257,TOOLHOP_e1c1bfebab6b
TH_0258,TOOLHOP_e1f463f56b2a
TH_0259,TOOLHOP_e30e49d63907
