benchmark,step_depth,n,failures,no_failure,failure_rate,ci_low,ci_high
ToolBench,2,334,187,147,0.5598802395209581,0.5059880239520959,0.6137724550898204
ToolBench,3,334,268,66,0.8023952095808383,0.7574850299401198,0.844311377245509
ToolBench,4,334,217,117,0.6497005988023952,0.5958083832335329,0.7005988023952096
ToolBench,5,334,309,25,0.9251497005988024,0.8952095808383234,0.9520958083832335
ToolBench,6,333,268,65,0.8048048048048048,0.7627627627627628,0.8438438438438438
ToolBench,7,333,307,26,0.9219219219219219,0.8888888888888888,0.948948948948949
ToolBench,8,333,277,56,0.8318318318318318,0.7897897897897898,0.8708708708708709
ToolBench,9,333,324,9,0.972972972972973,0.954954954954955,0.987987987987988
ToolBench,10,333,317,16,0.9519519519519519,0.9279279279279279,0.972972972972973
ToolBench,11,333,327,6,0.9819819819819819,0.9669669669669669,0.993993993993994
ToolBench,12,333,322,11,0.9669669669669669,0.9459459459459459,0.984984984984985
ToolBench,13,316,310,6,0.9810126582278481,0.9651898734177216,0.9936708860759493
ToolBench,14,17,16,1,0.9411764705882353,0.8235294117647058,1.0
