benchmark,step_depth,n,failures,no_failure,failure_rate,ci_low,ci_high
ToolHop,1,3,1,2,0.3333333333333333,0.0,1.0
ToolHop,2,29,9,20,0.3103448275862069,0.13793103448275862,0.4827586206896552
ToolHop,3,62,35,27,0.5645161290322581,0.45161290322580644,0.6774193548387096
ToolHop,4,65,45,20,0.6923076923076923,0.5692307692307692,0.8
ToolHop,5,55,48,7,0.8727272727272727,0.7818181818181819,0.9454545454545454
ToolHop,6,29,26,3,0.896551724137931,0.7931034482758621,1.0
ToolHop,7,24,24,0,1.0,1.0,1.0
ToolHop,8,11,11,0,1.0,1.0,1.0
ToolHop,9,10,10,0,1.0,1.0,1.0
ToolHop,10,12,12,0,1.0,1.0,1.0
