depth_bucket,full_count,train_80_count,validation_20_count,train_percent_of_bucket,validation_percent_of_bucket
2,27668,22134,5534,79.99855428654041,20.001445713459592
3,9585,7668,1917,80.0,20.0
4,19514,15611,3903,79.99897509480373,20.001024905196267
5,19345,15476,3869,80.0,20.0
6,15394,12315,3079,79.99870079251656,20.001299207483434
7,25894,20715,5179,79.99922762029814,20.00077237970186
8,10474,8379,2095,79.99809050983387,20.001909490166124
9,23690,18952,4738,80.0,20.0
10,8275,6620,1655,80.0,20.0
11,17415,13932,3483,80.0,20.0
12,4740,3792,948,80.0,20.0
13+,4603,3683,920,80.0130349771888,19.98696502281121
