step_depth,trajectories,avg_turns,avg_function_turns,avg_total_words,avg_function_ratio,avg_role_transition_ratio
2,22134,3.0265202855335684,0.011791813499593386,903.3888135899521,0.0013540892708688859,0.6675859765416555
3,7668,4.004825247782994,0.013954094940010433,1109.9928273343767,0.0016330847903617855,0.5054118843829329
4,15611,4.996925245019537,0.9948113509704696,1011.8262763436039,0.19865220189670899,0.7980189233680361
5,15476,5.908245024554148,1.0071723959679504,1202.795812871543,0.17030785725861972,0.7834198418393301
6,12315,6.9468940316686965,1.9476248477466505,1157.531059683313,0.27925336539222045,0.8521173922391949
7,20715,7.840260680666184,1.9945450156891142,1314.593676080135,0.25478224888796935,0.8574070051224287
8,8379,8.721685165294188,2.74734455185583,1348.8489079842464,0.3128771475173194,0.8766128283672143
9,18952,9.878165892781764,2.9789995778809626,1470.9745673279865,0.3013790812044294,0.8921092020052551
10,6620,10.383534743202416,3.426132930513595,1541.7575528700906,0.32777386510770196,0.8959175429303827
11,13932,11.813379270743612,3.936979615274189,1619.1503732414585,0.33271472880646,0.9126240461296448
12,3792,12.113396624472573,4.212289029535865,1698.2381329113923,0.345481259247082,0.9139685355666368
13,3531,13.599263664684225,4.841121495327103,1777.4265080713678,0.35490422444543085,0.9238403451232678
14,152,11.894736842105264,3.9473684210526314,1751.342105263158,0.32749060150375936,0.9113956766917293
